# CASF-2016 Scoring Analysis
# Score Type: cnnaffinity
# Minimization: ENABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	CNNAFFINITY
1a30	Ki=50uM	4.3010	6.3834
2qnq	Ki=0.77uM	6.1135	8.8676
1g2k	Ki=11nM	7.9586	8.9967
1eby	Ki=0.20nM	9.6990	8.6651
3o9i	Ki=1.5pM	11.8239	9.4041
4lzs	Kd=16uM	4.7959	4.7185
3u5j	Kd=2.46uM	5.6091	6.0549
4wiv	Kd=550nM	6.2596	6.2570
4ogj	Kd=164nM	6.7852	6.8891
3p5o	Kd=50.5nM	7.2967	7.0594
1ps3	Ki=5.2mM	2.2840	5.5967
3dx1	Ki=265uM	3.5768	5.0046
3d4z	Ki=13uM	4.8861	5.5079
3dx2	Ki=150nM	6.8239	5.7899
3ejr	Ki=2.7nM	8.5686	7.0294
3l7b	Ki=4.01mM	2.3969	4.7530
4eky	Ki=303.0uM	3.5186	6.4831
3g2n	Ki=81uM	4.0915	5.4269
3syr	Ki=7.9uM	5.1024	5.9343
3ebp	Ki=1.24uM	5.9066	5.7850
2w66	Ki=89uM	4.0506	6.2305
2w4x	Kd=14uM	4.8539	4.8822
2wca	Ki=2.5uM	5.6021	5.9317
2xj7	Ki=220nM	6.6576	6.4382
2vvn	Kd=50nM	7.3010	6.3548
3aru	Kd=600uM	3.2218	4.7574
3arv	Kd=2.3uM	5.6383	5.2529
3ary	Kd=1.0uM	6.0000	4.4791
3arq	Kd=0.4uM	6.3979	5.4874
3arp	Kd=0.07uM	7.1549	5.9375
4ih5	Kd=78uM	4.1079	5.0637
4ih7	Kd=5.8uM	5.2366	5.5360
3cj4	Kd=0.31uM	6.5086	5.9921
4eo8	Kd=7nM	8.1549	6.7387
3gnw	Kd=0.79nM	9.1024	8.2638
1gpk	Ki=4.3uM	5.3665	6.7314
1gpn	Ki=0.334uM	6.4763	6.9922
1h23	Ki=4.5nM	8.3468	8.0121
1h22	Ki=0.8nM	9.0969	8.0010
1e66	Ki=0.13nM	9.8861	7.7581
3f3a	Ki=64.8uM	4.1884	5.6886
3f3c	Ki=950nM	6.0223	5.7507
4mme	Kd=318nM	6.4976	6.5318
3f3d	Kd=69nM	7.1612	5.7717
3f3e	Kd=20nM	7.6990	5.5994
2wbg	Ki=35.2uM	4.4535	6.7775
2cbv	Kd=3.3uM	5.4815	5.5275
2j78	Kd=384nM	6.4157	5.9354
2j7h	Kd=65nM	7.1871	5.4861
2cet	Kd=9.6nM	8.0177	7.6033
3udh	Kd=1.4mM	2.8539	5.2399
3rsx	Kd=38.8uM	4.4112	5.2417
4djv	Ki=0.19uM	6.7212	7.0071
2vkm	Ki=1.8nM	8.7447	8.2381
4gid	Ki=0.017nM	10.7696	8.5972
4jfs	Ki=5.4uM	5.2676	5.7777
4j28	Ki=2.0uM	5.6990	6.0268
2wvt	Kd=755nM	6.1221	5.4555
2xii	Kd=63.3nM	7.1986	6.9535
4pcs	Ki=14nM	7.8539	5.9393
3rr4	Ki=28.05uM	4.5521	6.2562
1s38	Ki=7.0uM	5.1549	5.8485
1r5y	Ki=0.35uM	6.4559	5.7942
3gc5	Ki=55nM	7.2596	7.6307
3ge7	Ki=2nM	8.6990	8.0191
4dli	Kd=2.40uM	5.6198	6.4661
2zb1	Kd=0.48uM	6.3188	7.2922
4f9w	Ki=114nM	6.9431	7.5022
3e92	Ki=10nM	8.0000	7.3806
3e93	Ki=1.4nM	8.8539	7.8339
4owm	Ki=1090uM	2.9626	3.5432
3twp	Ki=119uM	3.9245	3.2706
3r88	Ki=15uM	4.8239	3.8032
4gkm	Ki=6.8uM	5.1675	5.1685
3qqs	Ki=1.5uM	5.8239	4.8699
3gv9	Ki=7.5mM	2.1249	3.9911
3gr2	Ki=3mM	2.5229	3.8415
4kz6	Ki=0.8mM	3.0969	4.6869
4jxs	Ki=18uM	4.7447	5.4031
2r9w	Ki=8uM	5.0969	5.5052
2hb1	Ki=160uM	3.7959	4.4504
1bzc	Ki=12uM	4.9208	5.4395
2qbr	Ki=0.47uM	6.3279	6.0311
2qbq	Ki=0.036uM	7.4437	6.4728
2qbp	Ki=0.004uM	8.3979	6.4810
1q8t	Kd=17.5uM	4.7570	6.4514
1ydr	Ki=3.0uM	5.5229	6.9085
1q8u	Kd=1.1uM	5.9586	7.2770
1ydt	Ki=48nM	7.3188	7.8419
3ag9	Ki=9nM	8.0458	6.9848
3fcq	Ki=1.7mM	2.7696	4.5492
1z9g	Ki=2.3uM	5.6383	5.6246
1qf1	Ki=48nM	7.3188	7.4232
5tmn	Ki=9.1nM	8.0410	7.0130
4tmn	Ki=0.068nM	10.1675	7.2347
4ddk	Kd=5.13mM	2.2899	3.9689
4ddh	Kd=0.48mM	3.3188	4.7293
3ivg	Kd=50uM	4.3010	6.7253
3coz	Kd=2.7uM	5.5686	6.7625
3coy	Kd=0.96uM	6.0177	7.0467
3pxf	Kd=37uM	4.4318	5.3045
4eor	Ki=500nM	6.3010	7.6349
2xnb	Ki=149nM	6.8268	8.0076
1pxn	Ki=0.07uM	7.1549	7.5805
2fvd	Ki=3nM	8.5229	7.6913
4k77	Ki=235nM	6.6289	6.8749
4e5w	Ki=22nM	7.6576	8.0011
4ivb	Ki=1.9nM	8.7212	7.9815
4ivd	Ki=0.3nM	9.5229	8.0290
4ivc	Ki=0.1nM	10.0000	8.1892
4f09	Ki=200nM	6.6990	7.4566
4gfm	Ki=0.06uM	7.2218	6.5903
4hge	Ki=11.9nM	7.9245	7.5966
4e6q	Ki=4.4nM	8.3565	7.8259
4jia	Ki=0.6nM	9.2218	7.3336
2brb	Ki=13.7uM	4.8633	6.8165
2br1	Ki=7.2uM	5.1427	7.3280
3jvr	Ki=1.89uM	5.7235	5.6048
3jvs	Kd=0.29uM	6.5376	5.4697
1nvq	Ki=5.6nM	8.2518	8.0492
3acw	Ki=17.5uM	4.7570	6.6651
4ea2	Ki=0.36uM	6.4437	7.2471
2zcr	Ki=135nM	6.8697	6.5745
2zy1	Ki=0.04uM	7.3979	6.5846
2zcq	Ki=1.5nM	8.8239	6.4379
1bcu	Kd=0.53mM	3.2757	5.2259
3bv9	Ki=4.4uM	5.3565	7.9320
1oyt	Ki=0.057uM	7.2441	7.2649
2zda	Ki=4nM	8.3979	7.4555
3utu	Ki=0.012nM	10.9208	8.5834
3u9q	Ki=41.7uM	4.3799	5.2483
2yfe	Ki=0.236uM	6.6271	6.3457
3fur	Ki=10nM	8.0000	8.0078
3b1m	Ki=3.3nM	8.4815	7.2761
2p4y	Ki=1nM	9.0000	8.4006
3uo4	Kd=299nM	6.5243	7.5191
3up2	Kd=40nM	7.3979	7.5860
3e5a	Ki=5.9nM	8.2291	8.1309
2wtv	Ki=1.8nM	8.7447	8.4157
3myg	Kd=0.02nM	10.6990	7.5521
3kgp	Ki=2.68mM	2.5719	4.4397
1c5z	Ki=97uM	4.0132	4.4786
1o5b	Ki=1.7uM	5.7696	5.6712
1owh	Ki=40nM	7.3979	6.0618
1sqa	Ki=0.62nM	9.2076	7.0822
4jsz	Ki=5000uM	2.3010	2.9975
3kwa	Ki=84uM	4.0757	4.1026
2weg	Kd=314nM	6.5031	6.1520
3ryj	Kd=16nM	7.7959	6.7014
3dd0	Ki=1nM	9.0000	6.9397
2xdl	Kd=790uM	3.1024	5.4587
3b27	Kd=6.9uM	5.1612	5.7070
1yc1	Kd=680nM	6.1675	6.8595
3rlr	Ki=30nM	7.5229	7.3824
2yki	Kd=0.35nM	9.4559	8.3531
1z95	Ki=76nM	7.1192	7.8088
3b68	Ki=4nM	8.3979	7.6345
3b5r	Ki=1.7nM	8.7696	8.0064
3b65	Ki=0.54nM	9.2676	7.7152
3g0w	Ki=0.3nM	9.5229	8.1144
4u4s	Kd=1200uM	2.9208	4.9360
1p1q	Kd=12.8uM	4.8928	6.1290
1syi	Ki=3590nM	5.4449	6.8384
1p1n	Kd=0.16uM	6.7959	6.0174
2al5	Ki=4nM	8.3979	6.5846
3g2z	Ki=4.4mM	2.3565	3.9594
3g31	Ki=1.3mM	2.8861	4.0216
4de2	Ki=76.0uM	4.1192	5.2110
4de3	Ki=3.0uM	5.5229	5.4469
4de1	Ki=1.1uM	5.9586	5.4220
1vso	Ki=18.98uM	4.7217	5.7585
4dld	Ki=1.5uM	5.8239	6.5433
3gbb	Ki=126nM	6.8996	6.6514
3fv2	Ki=7.7nM	8.1135	6.6440
3fv1	Ki=0.5nM	9.3010	7.0853
4mgd	Kd=20.19uM	4.6949	7.9845
2qe4	Ki=11.0nM	7.9586	7.6088
1qkt	Kd=0.92nM	9.0362	7.4557
2pog	Ki=0.29nM	9.5376	7.7904
2p15	Kd=50pM	10.3010	9.2357
2y5h	Ki=1620nM	5.7905	7.7792
1lpg	Ki=82nM	7.0862	7.7991
2xbv	Kd=3.7nM	8.4318	8.1573
1z6e	Ki=0.19nM	9.7212	8.5138
1mq6	Ki=7pM	11.1549	8.4598
1nc3	Ki=10uM	5.0000	6.8765
1nc1	Ki=0.75uM	6.1249	7.2083
1y6r	Ki=77pM	10.1135	8.1737
4f2w	Ki=5.0pM	11.3010	8.2466
4f3c	Ki=1.5pM	11.8239	8.8239
1uto	Kd=5.32mM	2.2741	3.9426
4abg	Kd=271uM	3.5670	4.6367
3gy4	Kd=8uM	5.0969	4.4965
1k1i	Kd=264nM	6.5784	7.5814
1o3f	Ki=0.011uM	7.9586	6.4550
2yge	Kd=8.62uM	5.0645	7.4311
2fxs	Kd=0.87uM	6.0605	5.9456
2iwx	Kd=0.21uM	6.6778	6.3860
2wer	Kd=90nM	7.0458	6.2357
2vw5	Kd=3nM	8.5229	7.3932
4kzq	Kd=788nM	6.1035	6.1847
4kzu	Ki=313nM	6.5045	6.3233
4j21	Kd=39nM	7.4089	6.9219
4j3l	Kd=16nM	7.7959	7.2152
3kr8	Kd=8nM	8.0969	6.8688
2ymd	Kd=693uM	3.1593	6.0742
2wnc	Kd=479nM	6.3197	6.8143
2xys	Ki=38nM	7.4202	7.8850
2wn9	Kd=3.0nM	8.5229	6.6849
2x00	Kd=4.7pM	11.3279	8.4009
3ozt	Ki=74.9uM	4.1255	6.5225
3ozs	Ki=4645nM	5.3330	6.5859
3oe5	Ki=132nM	6.8794	6.7740
3oe4	Ki=34nM	7.4685	6.6458
3nw9	Ki=1nM	9.0000	6.9931
3ao4	Kd=8.5mM	2.0706	5.0845
3zt2	Kd=1435uM	2.8431	5.1780
3zsx	Kd=519uM	3.2848	5.4661
4cig	Kd=214uM	3.6696	5.9088
3zso	Kd=7.6uM	5.1192	6.6502
3n7a	Ki=200uM	3.6990	4.8694
4ciw	Ki=15.0uM	4.8239	5.2596
3n86	Ki=2.3uM	5.6383	6.6481
3n76	Ki=0.14uM	6.8539	6.5723
2xb8	Ki=26nM	7.5850	6.4187
4bkt	Kd=240uM	3.6198	4.9567
4w9c	Kd=22.2uM	4.6536	6.2144
4w9l	Kd=9.52uM	5.0214	7.2249
4w9i	Kd=1.10uM	5.9586	6.4820
4w9h	Kd=0.185uM	6.7328	6.7241
3nq9	Kd=92.6uM	4.0334	4.2219
3ueu	Kd=5.81uM	5.2358	5.6617
3uev	Kd=1.29uM	5.8894	6.0791
3uew	Kd=0.49uM	6.3098	6.1451
3uex	Kd=0.12uM	6.9208	6.3834
3lka	Kd=1.5mM	2.8239	4.3990
3ehy	Ki=1.4uM	5.8539	5.5741
3tsk	Kd=67nM	7.1739	7.3694
3nx7	Kd=7.88nM	8.1035	6.0309
4gr0	Ki=0.28nM	9.5528	7.8901
3dxg	Ki=4.0mM	2.3979	4.1539
3d6q	Ki=172uM	3.7645	4.2457
1w4o	Ki=6uM	5.2218	4.5704
1o0h	Ki=1.2uM	5.9208	5.1692
1u1b	Kd=16nM	7.7959	6.4361

# Pearson:  0.8088 (p=3.2810e-67)
# Spearman: 0.8017 (p=3.2814e-65)
