# CASF-2016 Scoring Analysis
# Score Type: cnnaffinity
# Minimization: DISABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	CNNAFFINITY
3n7a	Ki=200uM	3.6990	4.8375
4ciw	Ki=15.0uM	4.8239	5.2209
3n86	Ki=2.3uM	5.6383	6.7352
3n76	Ki=0.14uM	6.8539	6.5258
2xb8	Ki=26nM	7.5850	6.3698
4bkt	Kd=240uM	3.6198	4.9944
4w9c	Kd=22.2uM	4.6536	6.2461
4w9l	Kd=9.52uM	5.0214	7.2549
4w9i	Kd=1.10uM	5.9586	6.5151
4w9h	Kd=0.185uM	6.7328	6.7984
3nq9	Kd=92.6uM	4.0334	4.2138
3ueu	Kd=5.81uM	5.2358	5.2465
3uev	Kd=1.29uM	5.8894	5.5673
3uew	Kd=0.49uM	6.3098	5.8494
3uex	Kd=0.12uM	6.9208	6.0685
3lka	Kd=1.5mM	2.8239	4.1826
3ehy	Ki=1.4uM	5.8539	4.8930
3tsk	Kd=67nM	7.1739	7.0559
3nx7	Kd=7.88nM	8.1035	5.6323
4gr0	Ki=0.28nM	9.5528	7.3005
3dxg	Ki=4.0mM	2.3979	4.1445
3d6q	Ki=172uM	3.7645	4.3200
1w4o	Ki=6uM	5.2218	4.5329
1o0h	Ki=1.2uM	5.9208	5.0930
1u1b	Kd=16nM	7.7959	6.4820

# Pearson:  0.7990 (p=1.8625e-64)
# Spearman: 0.7894 (p=6.2086e-62)
