# CASF-2016 Scoring Analysis
# Score Type: vina
# Minimization: DISABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	VINA
3arp	Kd=0.07uM	7.1549	-9.2062
4ih5	Kd=78uM	4.1079	-5.2663
4ih7	Kd=5.8uM	5.2366	-7.0060
3cj4	Kd=0.31uM	6.5086	-6.8252
4eo8	Kd=7nM	8.1549	-7.5171
3gnw	Kd=0.79nM	9.1024	-12.0987
1gpk	Ki=4.3uM	5.3665	-10.4335
1gpn	Ki=0.334uM	6.4763	-10.0251
1h23	Ki=4.5nM	8.3468	-9.6668
1h22	Ki=0.8nM	9.0969	-9.7127
1e66	Ki=0.13nM	9.8861	-12.0179
3f3a	Ki=64.8uM	4.1884	-6.9507
3f3c	Ki=950nM	6.0223	-7.6692
4mme	Kd=318nM	6.4976	-9.4654
3f3d	Kd=69nM	7.1612	-5.3739
3f3e	Kd=20nM	7.6990	-6.2869
2wbg	Ki=35.2uM	4.4535	-7.7735
2cbv	Kd=3.3uM	5.4815	-7.2771
2j78	Kd=384nM	6.4157	-7.2011
2j7h	Kd=65nM	7.1871	-6.2055
2cet	Kd=9.6nM	8.0177	-8.9970
3udh	Kd=1.4mM	2.8539	-7.1157
3rsx	Kd=38.8uM	4.4112	-7.5842
4djv	Ki=0.19uM	6.7212	-9.5822
2vkm	Ki=1.8nM	8.7447	-10.5791
4gid	Ki=0.017nM	10.7696	-10.9655
4jfs	Ki=5.4uM	5.2676	-6.4824
4j28	Ki=2.0uM	5.6990	-6.4435
2wvt	Kd=755nM	6.1221	-5.6663
2xii	Kd=63.3nM	7.1986	-9.8355
4pcs	Ki=14nM	7.8539	-7.2174
3rr4	Ki=28.05uM	4.5521	-6.9716
1s38	Ki=7.0uM	5.1549	-8.1503
1r5y	Ki=0.35uM	6.4559	-7.3486
3gc5	Ki=55nM	7.2596	-9.6049
3ge7	Ki=2nM	8.6990	-9.9211
4dli	Kd=2.40uM	5.6198	-9.0266
2zb1	Kd=0.48uM	6.3188	-10.5307
4f9w	Ki=114nM	6.9431	-10.2480
3e92	Ki=10nM	8.0000	-12.5863
3e93	Ki=1.4nM	8.8539	-13.3341
4owm	Ki=1090uM	2.9626	-4.7771
3twp	Ki=119uM	3.9245	-4.4889
3r88	Ki=15uM	4.8239	-5.3225
4gkm	Ki=6.8uM	5.1675	-7.2809
3qqs	Ki=1.5uM	5.8239	-7.5439
3gv9	Ki=7.5mM	2.1249	-4.1719
3gr2	Ki=3mM	2.5229	-4.0329
4kz6	Ki=0.8mM	3.0969	-5.2307
4jxs	Ki=18uM	4.7447	-6.8815
2r9w	Ki=8uM	5.0969	-7.6801
2hb1	Ki=160uM	3.7959	-5.5668
1bzc	Ki=12uM	4.9208	-8.6342
2qbr	Ki=0.47uM	6.3279	-7.4644
2qbq	Ki=0.036uM	7.4437	-8.0107
2qbp	Ki=0.004uM	8.3979	-8.6086
1q8t	Kd=17.5uM	4.7570	-6.6162
1ydr	Ki=3.0uM	5.5229	-7.5615
1q8u	Kd=1.1uM	5.9586	-8.2785
1ydt	Ki=48nM	7.3188	-8.3439
3ag9	Ki=9nM	8.0458	-5.6370
3fcq	Ki=1.7mM	2.7696	-4.6429
1z9g	Ki=2.3uM	5.6383	-4.9780
1qf1	Ki=48nM	7.3188	-6.8720
5tmn	Ki=9.1nM	8.0410	-7.2079
4tmn	Ki=0.068nM	10.1675	-8.2919
4ddk	Kd=5.13mM	2.2899	-5.7355
4ddh	Kd=0.48mM	3.3188	-5.7917
3ivg	Kd=50uM	4.3010	-7.7222
3coz	Kd=2.7uM	5.5686	-10.3370
3coy	Kd=0.96uM	6.0177	-11.0795
3pxf	Kd=37uM	4.4318	-5.6816
4eor	Ki=500nM	6.3010	-8.8604
2xnb	Ki=149nM	6.8268	-9.2869
1pxn	Ki=0.07uM	7.1549	-8.2353
2fvd	Ki=3nM	8.5229	-8.7027
4k77	Ki=235nM	6.6289	-7.5639
4e5w	Ki=22nM	7.6576	-10.3232
4ivb	Ki=1.9nM	8.7212	-9.5471
4ivd	Ki=0.3nM	9.5229	-8.7068
4ivc	Ki=0.1nM	10.0000	-9.5792
4f09	Ki=200nM	6.6990	-8.2153
4gfm	Ki=0.06uM	7.2218	-7.3247
4hge	Ki=11.9nM	7.9245	-8.5163
4e6q	Ki=4.4nM	8.3565	-8.9227
4jia	Ki=0.6nM	9.2218	-8.9558
2brb	Ki=13.7uM	4.8633	-7.7023
2br1	Ki=7.2uM	5.1427	-7.6591
3jvr	Ki=1.89uM	5.7235	-7.0456
3jvs	Kd=0.29uM	6.5376	-7.5187
1nvq	Ki=5.6nM	8.2518	-13.5473
3acw	Ki=17.5uM	4.7570	-10.5032
4ea2	Ki=0.36uM	6.4437	-7.5890
2zcr	Ki=135nM	6.8697	-8.6589
2zy1	Ki=0.04uM	7.3979	-8.6161
2zcq	Ki=1.5nM	8.8239	-8.1055
1bcu	Kd=0.53mM	3.2757	-6.9549
3bv9	Ki=4.4uM	5.3565	-8.6627
1oyt	Ki=0.057uM	7.2441	-10.8504
2zda	Ki=4nM	8.3979	-9.8530
3utu	Ki=0.012nM	10.9208	-9.7686
3u9q	Ki=41.7uM	4.3799	-4.3567
2yfe	Ki=0.236uM	6.6271	-7.6404
3fur	Ki=10nM	8.0000	-11.0926
3b1m	Ki=3.3nM	8.4815	-10.7225
2p4y	Ki=1nM	9.0000	-10.8361
3uo4	Kd=299nM	6.5243	-8.9671
3up2	Kd=40nM	7.3979	-8.8093
3e5a	Ki=5.9nM	8.2291	-8.4017
2wtv	Ki=1.8nM	8.7447	-10.4844
3myg	Kd=0.02nM	10.6990	-6.1976
3kgp	Ki=2.68mM	2.5719	-4.3887
1c5z	Ki=97uM	4.0132	-5.4345
1o5b	Ki=1.7uM	5.7696	-5.8516
1owh	Ki=40nM	7.3979	-7.6267
1sqa	Ki=0.62nM	9.2076	-7.9607
4jsz	Ki=5000uM	2.3010	-3.9923
3kwa	Ki=84uM	4.0757	-2.6361
2weg	Kd=314nM	6.5031	-5.2096
3ryj	Kd=16nM	7.7959	-6.0119
3dd0	Ki=1nM	9.0000	-5.6186
2xdl	Kd=790uM	3.1024	-6.4224
3b27	Kd=6.9uM	5.1612	-6.8920
1yc1	Kd=680nM	6.1675	-9.8824
3rlr	Ki=30nM	7.5229	-8.6589
2yki	Kd=0.35nM	9.4559	-15.3139
1z95	Ki=76nM	7.1192	-10.1019
3b68	Ki=4nM	8.3979	-10.5575
3b5r	Ki=1.7nM	8.7696	-10.0191
3b65	Ki=0.54nM	9.2676	-9.8991
3g0w	Ki=0.3nM	9.5229	-10.3491
4u4s	Kd=1200uM	2.9208	-5.4664
1p1q	Kd=12.8uM	4.8928	-5.0025
1syi	Ki=3590nM	5.4449	-8.9981
1p1n	Kd=0.16uM	6.7959	-7.1910
2al5	Ki=4nM	8.3979	-8.7610
3g2z	Ki=4.4mM	2.3565	-3.9788
3g31	Ki=1.3mM	2.8861	-3.0833
4de2	Ki=76.0uM	4.1192	-7.8591
4de3	Ki=3.0uM	5.5229	-8.3191
4de1	Ki=1.1uM	5.9586	-8.3087
1vso	Ki=18.98uM	4.7217	-5.8210
4dld	Ki=1.5uM	5.8239	-7.3371
3gbb	Ki=126nM	6.8996	-8.4908
3fv2	Ki=7.7nM	8.1135	-10.5939
3fv1	Ki=0.5nM	9.3010	-10.2776
4mgd	Kd=20.19uM	4.6949	-8.1244
2qe4	Ki=11.0nM	7.9586	-9.5826
1qkt	Kd=0.92nM	9.0362	-9.7434
2pog	Ki=0.29nM	9.5376	-10.0891
2p15	Kd=50pM	10.3010	-14.4366
2y5h	Ki=1620nM	5.7905	-7.6508
1lpg	Ki=82nM	7.0862	-7.9970
2xbv	Kd=3.7nM	8.4318	-10.9877
1z6e	Ki=0.19nM	9.7212	-10.9140
1mq6	Ki=7pM	11.1549	-9.3009
1nc3	Ki=10uM	5.0000	-10.0845
1nc1	Ki=0.75uM	6.1249	-8.0826
1y6r	Ki=77pM	10.1135	-10.0375
4f2w	Ki=5.0pM	11.3010	-9.1895
4f3c	Ki=1.5pM	11.8239	-9.0382
1uto	Kd=5.32mM	2.2741	-4.2930
4abg	Kd=271uM	3.5670	-5.6723
3gy4	Kd=8uM	5.0969	-6.1124
1k1i	Kd=264nM	6.5784	-7.7664
1o3f	Ki=0.011uM	7.9586	-8.0273
2yge	Kd=8.62uM	5.0645	-9.4568
2fxs	Kd=0.87uM	6.0605	-5.8080
2iwx	Kd=0.21uM	6.6778	-9.1408
2wer	Kd=90nM	7.0458	-9.1300
2vw5	Kd=3nM	8.5229	-10.3222
4kzq	Kd=788nM	6.1035	-11.1030
4kzu	Ki=313nM	6.5045	-11.3496
4j21	Kd=39nM	7.4089	-11.9848
4j3l	Kd=16nM	7.7959	-10.7509
3kr8	Kd=8nM	8.0969	-11.3858
2ymd	Kd=693uM	3.1593	-7.2144
2wnc	Kd=479nM	6.3197	-7.5712
2xys	Ki=38nM	7.4202	-10.5871
2wn9	Kd=3.0nM	8.5229	-7.1959
2x00	Kd=4.7pM	11.3279	-13.3229
3ozt	Ki=74.9uM	4.1255	-10.9680
3ozs	Ki=4645nM	5.3330	-10.3020
3oe5	Ki=132nM	6.8794	-10.0500
3oe4	Ki=34nM	7.4685	-10.3987
3nw9	Ki=1nM	9.0000	-11.8401
3ao4	Kd=8.5mM	2.0706	-6.1888
3zt2	Kd=1435uM	2.8431	-9.3497
3zsx	Kd=519uM	3.2848	-7.3867
4cig	Kd=214uM	3.6696	-7.6056
3zso	Kd=7.6uM	5.1192	-8.0291
3n7a	Ki=200uM	3.6990	-7.7335
4ciw	Ki=15.0uM	4.8239	-8.2779
3n86	Ki=2.3uM	5.6383	-11.6646
3n76	Ki=0.14uM	6.8539	-10.9491
2xb8	Ki=26nM	7.5850	-10.3574
4bkt	Kd=240uM	3.6198	-6.2216
4w9c	Kd=22.2uM	4.6536	-7.4737
4w9l	Kd=9.52uM	5.0214	-8.1431
4w9i	Kd=1.10uM	5.9586	-8.5179
4w9h	Kd=0.185uM	6.7328	-8.1393
3nq9	Kd=92.6uM	4.0334	-2.7706
3ueu	Kd=5.81uM	5.2358	-4.6810
3uev	Kd=1.29uM	5.8894	-5.0766
3uew	Kd=0.49uM	6.3098	-5.0169
3uex	Kd=0.12uM	6.9208	-5.3026
3lka	Kd=1.5mM	2.8239	-5.4026
3ehy	Ki=1.4uM	5.8539	-5.5691
3tsk	Kd=67nM	7.1739	-7.9384
3nx7	Kd=7.88nM	8.1035	-5.7217
4gr0	Ki=0.28nM	9.5528	-9.8724
3dxg	Ki=4.0mM	2.3979	-4.8021
3d6q	Ki=172uM	3.7645	-5.1022
1w4o	Ki=6uM	5.2218	-5.5019
1o0h	Ki=1.2uM	5.9208	-6.5758
1u1b	Kd=16nM	7.7959	-7.6242

# Pearson:  -0.5768 (p=1.1312e-26)
# Spearman: -0.5702 (p=5.6189e-26)
