# CASF-2016 Scoring Analysis
# Score Type: cnnscore
# Minimization: DISABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	CNNSCORE
2w4x	Kd=14uM	4.8539	0.9526
2wca	Ki=2.5uM	5.6021	0.7676
2xj7	Ki=220nM	6.6576	0.9884
2vvn	Kd=50nM	7.3010	0.9811
3aru	Kd=600uM	3.2218	0.8181
3arv	Kd=2.3uM	5.6383	0.9385
3ary	Kd=1.0uM	6.0000	0.9379
3arq	Kd=0.4uM	6.3979	0.7918
3arp	Kd=0.07uM	7.1549	0.7316
4ih5	Kd=78uM	4.1079	0.4476
4ih7	Kd=5.8uM	5.2366	0.9682
3cj4	Kd=0.31uM	6.5086	0.9336
4eo8	Kd=7nM	8.1549	0.9449
3gnw	Kd=0.79nM	9.1024	0.9880
1gpk	Ki=4.3uM	5.3665	0.8625
1gpn	Ki=0.334uM	6.4763	0.7920
1h23	Ki=4.5nM	8.3468	0.9647
1h22	Ki=0.8nM	9.0969	0.9723
1e66	Ki=0.13nM	9.8861	0.9638
3f3a	Ki=64.8uM	4.1884	0.8688
3f3c	Ki=950nM	6.0223	0.9389
4mme	Kd=318nM	6.4976	0.7318
3f3d	Kd=69nM	7.1612	0.9478
3f3e	Kd=20nM	7.6990	0.9693
2wbg	Ki=35.2uM	4.4535	0.9924
2cbv	Kd=3.3uM	5.4815	0.8526
2j78	Kd=384nM	6.4157	0.9819
2j7h	Kd=65nM	7.1871	0.9874
2cet	Kd=9.6nM	8.0177	0.9764
3udh	Kd=1.4mM	2.8539	0.9422
3rsx	Kd=38.8uM	4.4112	0.9452
4djv	Ki=0.19uM	6.7212	0.9926
2vkm	Ki=1.8nM	8.7447	0.9310
4gid	Ki=0.017nM	10.7696	0.9899
4jfs	Ki=5.4uM	5.2676	0.9615
4j28	Ki=2.0uM	5.6990	0.9752
2wvt	Kd=755nM	6.1221	0.9815
2xii	Kd=63.3nM	7.1986	0.9918
4pcs	Ki=14nM	7.8539	0.9870
3rr4	Ki=28.05uM	4.5521	0.9740
1s38	Ki=7.0uM	5.1549	0.9903
1r5y	Ki=0.35uM	6.4559	0.9857
3gc5	Ki=55nM	7.2596	0.9975
3ge7	Ki=2nM	8.6990	0.9916
4dli	Kd=2.40uM	5.6198	0.8268
2zb1	Kd=0.48uM	6.3188	0.9271
4f9w	Ki=114nM	6.9431	0.9878
3e92	Ki=10nM	8.0000	0.9779
3e93	Ki=1.4nM	8.8539	0.9589
4owm	Ki=1090uM	2.9626	0.8479
3twp	Ki=119uM	3.9245	0.5125
3r88	Ki=15uM	4.8239	0.8828
4gkm	Ki=6.8uM	5.1675	0.8862
3qqs	Ki=1.5uM	5.8239	0.9325
3gv9	Ki=7.5mM	2.1249	0.8203
3gr2	Ki=3mM	2.5229	0.5264
4kz6	Ki=0.8mM	3.0969	0.8735
4jxs	Ki=18uM	4.7447	0.9246
2r9w	Ki=8uM	5.0969	0.8776
2hb1	Ki=160uM	3.7959	0.8476
1bzc	Ki=12uM	4.9208	0.8839
2qbr	Ki=0.47uM	6.3279	0.8891
2qbq	Ki=0.036uM	7.4437	0.8585
2qbp	Ki=0.004uM	8.3979	0.8718
1q8t	Kd=17.5uM	4.7570	0.8345
1ydr	Ki=3.0uM	5.5229	0.9281
1q8u	Kd=1.1uM	5.9586	0.9524
1ydt	Ki=48nM	7.3188	0.9850
3ag9	Ki=9nM	8.0458	0.5763
3fcq	Ki=1.7mM	2.7696	0.6123
1z9g	Ki=2.3uM	5.6383	0.8947
1qf1	Ki=48nM	7.3188	0.9818
5tmn	Ki=9.1nM	8.0410	0.9163
4tmn	Ki=0.068nM	10.1675	0.7821
4ddk	Kd=5.13mM	2.2899	0.7997
4ddh	Kd=0.48mM	3.3188	0.9229
3ivg	Kd=50uM	4.3010	0.9332
3coz	Kd=2.7uM	5.5686	0.9610
3coy	Kd=0.96uM	6.0177	0.9800
3pxf	Kd=37uM	4.4318	0.3981
4eor	Ki=500nM	6.3010	0.9906
2xnb	Ki=149nM	6.8268	0.9915
1pxn	Ki=0.07uM	7.1549	0.9837
2fvd	Ki=3nM	8.5229	0.9949
4k77	Ki=235nM	6.6289	0.9549
4e5w	Ki=22nM	7.6576	0.9727
4ivb	Ki=1.9nM	8.7212	0.9963
4ivd	Ki=0.3nM	9.5229	0.9921
4ivc	Ki=0.1nM	10.0000	0.9978
4f09	Ki=200nM	6.6990	0.9935
4gfm	Ki=0.06uM	7.2218	0.9627
4hge	Ki=11.9nM	7.9245	0.8985
4e6q	Ki=4.4nM	8.3565	0.9785
4jia	Ki=0.6nM	9.2218	0.8005
2brb	Ki=13.7uM	4.8633	0.9270
2br1	Ki=7.2uM	5.1427	0.8992
3jvr	Ki=1.89uM	5.7235	0.9646
3jvs	Kd=0.29uM	6.5376	0.8017
1nvq	Ki=5.6nM	8.2518	0.9964
3acw	Ki=17.5uM	4.7570	0.8803
4ea2	Ki=0.36uM	6.4437	0.7532
2zcr	Ki=135nM	6.8697	0.7748
2zy1	Ki=0.04uM	7.3979	0.9187
2zcq	Ki=1.5nM	8.8239	0.7366
1bcu	Kd=0.53mM	3.2757	0.9102
3bv9	Ki=4.4uM	5.3565	0.6881
1oyt	Ki=0.057uM	7.2441	0.9591
2zda	Ki=4nM	8.3979	0.9963
3utu	Ki=0.012nM	10.9208	0.9936
3u9q	Ki=41.7uM	4.3799	0.8824
2yfe	Ki=0.236uM	6.6271	0.9352
3fur	Ki=10nM	8.0000	0.9613
3b1m	Ki=3.3nM	8.4815	0.8246
2p4y	Ki=1nM	9.0000	0.9599
3uo4	Kd=299nM	6.5243	0.9619
3up2	Kd=40nM	7.3979	0.9916
3e5a	Ki=5.9nM	8.2291	0.5720
2wtv	Ki=1.8nM	8.7447	0.9856
3myg	Kd=0.02nM	10.6990	0.9008
3kgp	Ki=2.68mM	2.5719	0.8741
1c5z	Ki=97uM	4.0132	0.9742
1o5b	Ki=1.7uM	5.7696	0.9613
1owh	Ki=40nM	7.3979	0.9141
1sqa	Ki=0.62nM	9.2076	0.8942
4jsz	Ki=5000uM	2.3010	0.4885
3kwa	Ki=84uM	4.0757	0.1574
2weg	Kd=314nM	6.5031	0.9549
3ryj	Kd=16nM	7.7959	0.9517
3dd0	Ki=1nM	9.0000	0.9723
2xdl	Kd=790uM	3.1024	0.9237
3b27	Kd=6.9uM	5.1612	0.9462
1yc1	Kd=680nM	6.1675	0.9792
3rlr	Ki=30nM	7.5229	0.9721
2yki	Kd=0.35nM	9.4559	0.9898
1z95	Ki=76nM	7.1192	0.9366
3b68	Ki=4nM	8.3979	0.9496
3b5r	Ki=1.7nM	8.7696	0.9794
3b65	Ki=0.54nM	9.2676	0.9781
3g0w	Ki=0.3nM	9.5229	0.9791
4u4s	Kd=1200uM	2.9208	0.8027
1p1q	Kd=12.8uM	4.8928	0.7553
1syi	Ki=3590nM	5.4449	0.9667
1p1n	Kd=0.16uM	6.7959	0.7715
2al5	Ki=4nM	8.3979	0.9797
3g2z	Ki=4.4mM	2.3565	0.5431
3g31	Ki=1.3mM	2.8861	0.6882
4de2	Ki=76.0uM	4.1192	0.8597
4de3	Ki=3.0uM	5.5229	0.9344
4de1	Ki=1.1uM	5.9586	0.8547
1vso	Ki=18.98uM	4.7217	0.8996
4dld	Ki=1.5uM	5.8239	0.8292
3gbb	Ki=126nM	6.8996	0.9810
3fv2	Ki=7.7nM	8.1135	0.9586
3fv1	Ki=0.5nM	9.3010	0.9737
4mgd	Kd=20.19uM	4.6949	0.9725
2qe4	Ki=11.0nM	7.9586	0.9409
1qkt	Kd=0.92nM	9.0362	0.9398
2pog	Ki=0.29nM	9.5376	0.6664
2p15	Kd=50pM	10.3010	0.9885
2y5h	Ki=1620nM	5.7905	0.9758
1lpg	Ki=82nM	7.0862	0.7742
2xbv	Kd=3.7nM	8.4318	0.9773
1z6e	Ki=0.19nM	9.7212	0.9945
1mq6	Ki=7pM	11.1549	0.9961
1nc3	Ki=10uM	5.0000	0.9670
1nc1	Ki=0.75uM	6.1249	0.8656
1y6r	Ki=77pM	10.1135	0.9866
4f2w	Ki=5.0pM	11.3010	0.9797
4f3c	Ki=1.5pM	11.8239	0.9811
1uto	Kd=5.32mM	2.2741	0.9370
4abg	Kd=271uM	3.5670	0.9635
3gy4	Kd=8uM	5.0969	0.9768
1k1i	Kd=264nM	6.5784	0.9177
1o3f	Ki=0.011uM	7.9586	0.5966
2yge	Kd=8.62uM	5.0645	0.8941
2fxs	Kd=0.87uM	6.0605	0.8427
2iwx	Kd=0.21uM	6.6778	0.9544
2wer	Kd=90nM	7.0458	0.9110
2vw5	Kd=3nM	8.5229	0.9098
4kzq	Kd=788nM	6.1035	0.9114
4kzu	Ki=313nM	6.5045	0.9020
4j21	Kd=39nM	7.4089	0.9451
4j3l	Kd=16nM	7.7959	0.9406
3kr8	Kd=8nM	8.0969	0.9651
2ymd	Kd=693uM	3.1593	0.8694
2wnc	Kd=479nM	6.3197	0.9191
2xys	Ki=38nM	7.4202	0.9608
2wn9	Kd=3.0nM	8.5229	0.9514
2x00	Kd=4.7pM	11.3279	0.9802
3ozt	Ki=74.9uM	4.1255	0.9872
3ozs	Ki=4645nM	5.3330	0.9604
3oe5	Ki=132nM	6.8794	0.9818
3oe4	Ki=34nM	7.4685	0.9647
3nw9	Ki=1nM	9.0000	0.9628
3ao4	Kd=8.5mM	2.0706	0.9007
3zt2	Kd=1435uM	2.8431	0.9555
3zsx	Kd=519uM	3.2848	0.8497
4cig	Kd=214uM	3.6696	0.9295
3zso	Kd=7.6uM	5.1192	0.8783
3n7a	Ki=200uM	3.6990	0.9548
4ciw	Ki=15.0uM	4.8239	0.9066
3n86	Ki=2.3uM	5.6383	0.9817
3n76	Ki=0.14uM	6.8539	0.9539
2xb8	Ki=26nM	7.5850	0.9516
4bkt	Kd=240uM	3.6198	0.9411
4w9c	Kd=22.2uM	4.6536	0.9379
4w9l	Kd=9.52uM	5.0214	0.9680
4w9i	Kd=1.10uM	5.9586	0.9724
4w9h	Kd=0.185uM	6.7328	0.9455
3nq9	Kd=92.6uM	4.0334	0.4700
3ueu	Kd=5.81uM	5.2358	0.4950
3uev	Kd=1.29uM	5.8894	0.5761
3uew	Kd=0.49uM	6.3098	0.7288
3uex	Kd=0.12uM	6.9208	0.6820
3lka	Kd=1.5mM	2.8239	0.7308
3ehy	Ki=1.4uM	5.8539	0.4466
3tsk	Kd=67nM	7.1739	0.7066
3nx7	Kd=7.88nM	8.1035	0.7896
4gr0	Ki=0.28nM	9.5528	0.6574
3dxg	Ki=4.0mM	2.3979	0.7451
3d6q	Ki=172uM	3.7645	0.6738
1w4o	Ki=6uM	5.2218	0.8464
1o0h	Ki=1.2uM	5.9208	0.8568
1u1b	Kd=16nM	7.7959	0.9141

# Pearson:  0.3006 (p=2.3180e-07)
# Spearman: 0.3879 (p=1.1478e-11)
